n,NORM,CU,NV DX,NV GL,NV OCL,CUFFT,CLFFT,AMD DX,AMD GL,AMD OCL,FFTW,OMP,C,CU/CUFFT,DX/CU,OCL/CU,GL/CU,CLFFT/OCL,AMD DX/OCL,AMD GL/OCL,CUFFT/CU,FFTW/CU,OMP/CU,C/CU,AMD/NV OCL,AMD/NV DX,AMD/NV GL,CLFFT/CUFFT,CU BATCH,CUFFT BATCH,CUFFT/CU BATCH,CU/CUFFT BATCH
4,1,4.1,5.4,5.4,12.2,4.5,71,4.7,7.5,11.7,0,2,0,0.91,1.32,2.98,1.32,6.07,0.40,0.64,1.10,0.00,0.49,0.00,0.96,0.87,1.39,15.78,191870.5,6763.9,0.04,28.37
8,1,4.4,5.6,5.6,12.2,4.9,76,5,8.8,11.8,0,9,0,0.90,1.27,2.77,1.27,6.44,0.42,0.75,1.11,0.00,2.05,0.00,0.97,0.89,1.57,15.51,116257.2,6880.6,0.06,16.90
16,1,4.6,5.9,5.9,12,5.4,78,9,8.1,12.4,0,3,0,0.85,1.28,2.61,1.28,6.29,0.73,0.65,1.17,0.00,0.65,0.00,1.03,1.53,1.37,14.44,67860.1,6791.2,0.10,9.99
32,1,4.9,6.1,6.3,12.9,6.2,75,9.3,8.4,13.3,0,4,0,0.79,1.24,2.63,1.29,5.64,0.70,0.63,1.27,0.00,0.82,0.00,1.03,1.52,1.33,12.10,38751.4,7811.7,0.20,4.96
64,1,5.3,6.5,7.1,15.6,4.6,73,9.9,8.8,13.7,0,5,0,1.15,1.23,2.94,1.34,5.33,0.72,0.64,0.87,0.00,0.94,0.00,0.88,1.52,1.24,15.87,23228,9517.8,0.41,2.44
128,1,5.8,7.1,7.8,17.6,5.3,76,12.7,9.1,14.5,0,6,1,1.09,1.22,3.03,1.34,5.24,0.88,0.63,0.91,0.00,1.03,0.17,0.82,1.79,1.17,14.34,15392.8,7271.5,0.47,2.12
256,1,6.4,7.8,9.1,17.2,6.3,75,13.7,10.3,15.7,0,13,3,1.02,1.22,2.69,1.42,4.78,0.87,0.66,0.98,0.00,2.03,0.47,0.91,1.76,1.13,11.90,18971.8,7686.9,0.41,2.47
512,1,7.8,9.3,11.6,22,5.7,78,15.5,12.1,17,0,20,6,1.37,1.19,2.82,1.49,4.59,0.91,0.71,0.73,0.00,2.56,0.77,0.77,1.67,1.04,13.68,26111.5,8801.3,0.34,2.97
1024,1,8.6,10.5,12.7,23.3,7.3,82,21.4,17.9,23.1,2,26,15,1.18,1.22,2.71,1.48,3.55,0.93,0.77,0.85,0.23,3.02,1.74,0.99,2.04,1.41,11.23,30850.8,11078.2,0.36,2.78
2048,1,11.1,13.5,16.2,26.1,7.1,88,25.4,23.5,26.9,5,41,32,1.56,1.22,2.35,1.46,3.27,0.94,0.87,0.64,0.45,3.69,2.88,1.03,1.88,1.45,12.39,41324,7277.7,0.18,5.68
4096,1,14.3,17.1,21.2,30.8,8.8,113,30.3,33.9,32,7,37,69,1.63,1.20,2.15,1.48,3.53,0.95,1.06,0.62,0.49,2.59,4.83,1.04,1.77,1.60,12.84,46739.5,9270,0.20,5.04
8192,1,17.7,20.2,26.3,41.1,13.2,107,39.7,45.4,39.5,20,80,152,1.34,1.14,2.32,1.49,2.71,1.01,1.15,0.75,1.13,4.52,8.59,0.96,1.97,1.73,8.11,54453.3,14692.5,0.27,3.71
